Name,Breed,Location,Gender,Age,Weight,Image,Description
Sox,Labrador Retriever Mix,Salem,Male,3 Months,21.83,https://www.mspca.org/wp-content/uploads/2023/11/2-18.jpeg?1700199087," Meet our newest canine resident, an adorable puppy who has recently joined our shelter. This young pup’s story is just beginning, and we are in the process of discovering the unique qualities and characteristics that make them a one-of-a-kind companion. While we don’t know all the details of their past, one thing is certain: this puppy has an abundance of potential and love to share. As we spend more time with them, we are excited to watch their personality unfold, witness their playful antics, and see their bonds with humans and other animals grow. Although we are still getting to know this sweet puppy, one thing is for sure — they are ready to learn how to be a loving pet with love, training, and a lifetime of memories. They are a mixed breed puppy, so their full grown size is a bit of a mystery!"
Jamie,Labrador Retriever Mix,Salem,Female,4 Months,20.50,https://www.mspca.org/wp-content/uploads/2023/11/2-19.jpeg?1700199097," Meet our newest canine resident, an adorable puppy who has recently joined our shelter. This young pup’s story is just beginning, and we are in the process of discovering the unique qualities and characteristics that make them a one-of-a-kind companion. While we don’t know all the details of their past, one thing is certain: this puppy has an abundance of potential and love to share. As we spend more time with them, we are excited to watch their personality unfold, witness their playful antics, and see their bonds with humans and other animals grow. Although we are still getting to know this sweet puppy, one thing is for sure — they are ready to learn how to be a loving pet with love, training, and a lifetime of memories. They are a mixed breed puppy, so their full grown size is a bit of a mystery!"
Vegas,Labrador Retriever Mix,Salem,Male,4 Months,25.13,https://www.mspca.org/wp-content/uploads/2023/11/1-83.jpeg?1700199107," Meet our newest canine resident, an adorable puppy who has recently joined our shelter. This young pup’s story is just beginning, and we are in the process of discovering the unique qualities and characteristics that make them a one-of-a-kind companion. While we don’t know all the details of their past, one thing is certain: this puppy has an abundance of potential and love to share. As we spend more time with them, we are excited to watch their personality unfold, witness their playful antics, and see their bonds with humans and other animals grow. Although we are still getting to know this sweet puppy, one thing is for sure — they are ready to learn how to be a loving pet with love, training, and a lifetime of memories. They are a mixed breed puppy, so their full grown size is a bit of a mystery!"
Hanna,Labrador Retriever Mix,Salem,Female,2 Months,7.05,https://www.mspca.org/wp-content/uploads/2023/11/1-110.jpeg?1700199117," Meet our newest canine resident, an adorable puppy who has recently joined our shelter. This young pup’s story is just beginning, and we are in the process of discovering the unique qualities and characteristics that make them a one-of-a-kind companion. While we don’t know all the details of their past, one thing is certain: this puppy has an abundance of potential and love to share. As we spend more time with them, we are excited to watch their personality unfold, witness their playful antics, and see their bonds with humans and other animals grow. Although we are still getting to know this sweet puppy, one thing is for sure — they are ready to learn how to be a loving pet with love, training, and a lifetime of memories. They are a mixed breed puppy, so their full grown size is a bit of a mystery!"
Snowky,Alaskan Malamute Mix,Boston,Male,8 Years,56.88,https://www.mspca.org/wp-content/uploads/2023/11/1-92.jpeg?1700199127," Meet Snowky! This fluffy-haired beauty can`t wait to start his next chapter. While he`s made some really great friends at the shelter, he`s a sensitive guy who is not well-suited for shelter life. Snowky has had 8 years of practice being the best boy, and is looking for a quiet, predictable lifestyle. He can be a bit reserved when first making new friends, but when he`s allowed to set the pace it doesn`t take long for him to show you his silly, chatty side. He`s looking for an adopter excited about helping him feel more comfortable with the regular grooming his beautiful coat requires. Snowky may do well living with another mellow dog or cat, and may also enjoy older kids who can support him through a slow transition into his new family. If you think you are a good fit and would like to learn more, please click on the blue Inquire button above, fill out the form, and stop by our Boston Adoption Center. We have open adoption hours Tuesday-Sunday from 12pm-3pm no appointment needed to speak to a staff person regarding available dogs. For more information on our adoption process, please visit https://www.mspca.org/adoption-centers/how-to-adopt/ Please note, in an effort to keep the stress levels reduced for the dogs in our care, our dog kennel areas will not be open to walk through. Interested adopters will work with a matchmaker on staff to determine which dog(s) theyre interested in – and if we can identify a match, potential adopters will be able to meet those dogs outside of the kennel. Cat and small animal areas will remain open to walk through."
Waylon,Labrador Retriever Mix,Nevins Farm,Male,5 Months,28.22,https://www.mspca.org/wp-content/themes/mspca-theme/images/noimg.png,
Willie,Labrador Retriever Mix,Salem,Male,5 Months,28.66,https://www.mspca.org/wp-content/uploads/2023/11/1-106.jpeg?1700199145," * MUST GO HOME WITH ANOTHER CANINE FRIEND 🙂 *
Introducing our endearing little guy, still navigating the world with a touch of nervousness but a heart full of potential. This sweet, male puppy, Willie, is in search of a patient and tranquil home where he can find the comfort and security he needs to truly shine. His ideal family will understand the importance of taking things slow, offering him the gentle guidance and assurance necessary for him to feel at ease. Once he settles in, get ready for the delightful transformation of a lively and active companion. This little guy is brimming with energy and playfulness, ready to share his exuberance with those who give him the time and space to thrive. If you’re seeking a charming and spirited addition to your family, willing to invest a bit of patience for a lifetime of joy, this little boy could be the perfect fit for your loving home."
Churro,Pit Bull Terrier Mix,Nevins Farm,Male,2 Years,32.63,https://www.mspca.org/wp-content/themes/mspca-theme/images/noimg.png,
Jacie,Labrador Retriever Mix,Salem,Female,4 Years,41.01,https://www.mspca.org/wp-content/uploads/2023/11/1-89.jpeg?1700199166," Meet Jacie, a sweet and soulful female dog who has recently made her way to us from a shelter down south. This lovely girl is currently in the process of adjusting to her new surroundings, and we’re getting to know her delightful personality more each day. Jacie has shown a special affinity for playing with other dogs, showcasing her social and playful nature. As we spend more time with her, we’re uncovering the layers of her charm and the unique qualities that make her a wonderful companion. Jacie is a testament to resilience, and we’re excited to witness her blossom as she settles into a loving home. If you’re looking for a canine friend who is ready to explore the joys of companionship, consider giving Jacie a chance to steal your heart. Come meet this gentle soul, and together let’s create a new chapter filled with love, understanding, and shared adventures."
Farrah,Pit Bull Terrier Mix,Salem,Female,9 Months,31.75,https://www.mspca.org/wp-content/uploads/2023/11/1-90.jpeg?1700199178," Farrah is the ultimate charmer, and she’s ready to win over your heart! With her medium energy levels, she’s the perfect companion who doesn’t want to miss a moment with her people. Farrah’s love for carrying around her stuffed animals showcases her playful side, and her excellent potty training makes her a breeze to have at home. Plus, she has done well with children, making her an ideal addition to any family. She enjoys playing with other dogs and has done well in play groups here at the shelter."
Dolly,Pit Bull Terrier Mix,Salem,Female,3 Years,41.89,https://www.mspca.org/wp-content/uploads/2023/11/1-94.jpeg?1700199188," Meet Dolly, an affectionate and people-friendly female dog who is sure to steal your heart with her warm greetings and sweet kisses. Dolly is not only a joy to be around but is also great with other dogs, making her the perfect companion for families looking to expand their furry pack. This lovely lady has a charming habit of jumping up to say hello, eager to share her boundless enthusiasm and love with everyone she meets. Dolly has a history of being comfortable around children in her previous home. One of Dolly’s impressive skills is her crate training, providing a sense of security and structure for her. Whether she’s seeking a quiet retreat or a cozy nap spot, Dolly understands the value of her own space. In addition to her charming social skills, Dolly is a fan of backyard zoomies, showcasing her playful and energetic side. If you’re looking for a delightful canine companion who thrives on love, social interaction, and the occasional burst of energy, Dolly is the perfect addition to your home. Come meet this affectionate girl and discover the joy of having a furry friend who is always ready to shower you with love and excitement."
Mason,Pit Bull Terrier Mix,Salem,Male,9 Months,37.48,https://www.mspca.org/wp-content/uploads/2023/11/1-121.jpeg?1700199198,
Joseph,Siberian Husky Mix,Salem,Male,1 Years,39.68,https://www.mspca.org/wp-content/uploads/2023/11/1-124.jpeg?1700199206," Introducing Joseph, a handsome male dog who has recently joined us from a shelter down south. This charming fellow is in the process of settling into his new surroundings, and we’re eagerly discovering the wonderful facets of his personality. Joseph has shown a particular fondness for playing with other dogs, showcasing his friendly and social nature. As we spend more time with him, we’re unraveling the layers of his character, and it’s clear that he has a heart full of love to share. Joseph’s journey from the shelter down south to our care is a testament to his resilience, and we believe he’s ready to embark on a new chapter of companionship and joy. If you’re searching for a four-legged friend who is both sociable and loving, Joseph might be the perfect match for you. Come meet this endearing canine companion and help him transition into the loving forever home he deserves. Adopt Joseph and witness the transformation of a shelter dog into a cherished member of your family, ready for a lifetime of shared adventures."
Nutmeg,Pit Bull Terrier Mix,Salem,Female,3 Years,44.97,https://www.mspca.org/wp-content/uploads/2023/11/1-126.jpeg?1700199218," Meet Nutmeg, a delightful and affectionate female dog ready to add a dash of spice to your life! In her southern foster home, Nutmeg integrated into her home, enjoying the freedom to roam alongside her foster family’s dog while they work from home. Nutmeg is a fan of outdoor adventures and is taken on multiple walks each day, reveling in the joy of exploration. Although she may need a bit of refinement in her leash manners, her eagerness to learn and please makes her a promising student. A free spirit, Nutmeg is not crated and has proven to be well-behaved indoors, making her a trustworthy companion. At night, she cuddles up in bed, bringing warmth and companionship. Nutmeg’s playful nature shines through during interactive sessions, particularly in spirited games of tug of war with toys. Social and loving, Nutmeg has a heart full of affection for people, making her a wonderful addition to any loving home. Her ideal home will be feline free. If you’re looking for a furry friend who embodies charm and joy, Nutmeg might just be the perfect match for you!"
Ezra,Plott Hound Mix,Salem,Male,2 Years,52.91,https://www.mspca.org/wp-content/uploads/2023/11/1-138.jpeg?1700199229," Introducing Ezra, a lovable male dog ready to steal your heart! When he was residing in a southern foster home, Ezra shared his space with five other dogs, showcasing his exceptional dog-friendly nature. He effortlessly forms bonds with both male and female canine companions but, due to his feline preferences, a cat-free environment is recommended. Ezra is a true people-lover, thriving on the attention and affection he receives from his human friends. Cuddling is his forte, and he eagerly leans in, resting his head on shoulders or chests, making every interaction a heartfelt connection. This sweet and gentle boy adores ear rubs, often drifting into peaceful slumber on the lap of those who shower him with love. While Ezra spends most of his day freely exploring the house, he is working on perfecting his house training skills. Although he may have a few accidents, his crate proves to be a safe haven when his humans are away, showcasing his calm and quiet demeanor. At night, Ezra enjoys the freedom of sleeping outside his crate, ready to share his warmth and affection with his future owner. If you’re seeking a companion who radiates love and gentleness, Ezra is the perfect match for you!"
Aragorn,Black Mouth Cur Mix,Salem,Male,3 Months,30.42,https://www.mspca.org/wp-content/uploads/2023/11/1-123.jpeg?1700199239," Meet our newest canine resident, an adorable puppy who has recently joined our shelter. This young pup’s story is just beginning, and we are in the process of discovering the unique qualities and characteristics that make them a one-of-a-kind companion. While we don’t know all the details of their past, one thing is certain: this puppy has an abundance of potential and love to share. As we spend more time with them, we are excited to watch their personality unfold, witness their playful antics, and see their bonds with humans and other animals grow. Although we are still getting to know this sweet puppy, one thing is for sure — they are ready to learn how to be a loving pet with love, training, and a lifetime of memories. They are a mixed breed puppy, so their full grown size is a bit of a mystery!"
Cody,Pekingese,Boston,Male,6 Years,12.13,https://www.mspca.org/wp-content/uploads/2023/11/2-5.jpeg?1700199249," Meet Cody! He’s 12 lbs of pure Pekingnese, and 100% a delight. If you’re looking for your next walking buddy and pint-sized companion, he might be the one for you! Cody can be affectionate, but on his terms, and may take some time to ask for pets from new people. Cody has successfully lived with another dog, but didn’t like sharing toys. He’s If you think you are a good fit and would like to learn more, stop by our Boston Adoption Center. We have open adoption hours Tuesday-Sunday from 12pm-3pm – no appointment needed to speak to a staff person regarding available dogs. For more information on our adoption process, please visit https://www.mspca.org/adoption-centers/how-to-adopt/ Please note, in an effort to keep the stress levels reduced for the dogs in our care, our dog kennel areas will not be open to walk through. Interested adopters will work with a matchmaker on staff to determine which dog(s) they’re interested in – and if we can identify a match, potential adopters will be able to meet those dogs outside of the kennel. Cat and small animal areas will remain open to walk through."
Colors,Siberian Husky Mix,Salem,Male,10 Months,39.68,https://www.mspca.org/wp-content/uploads/2023/11/1-135.jpeg?1700199259," Introducing Colors, an energetic and charismatic male dog who has recently made his way from a shelter down south to embark on a new chapter of his life. As Colors adjusts to his surroundings, we’re in the process of getting to know this lively canine companion. His vibrant personality is evident in his boundless energy, making him a perfect match for an active and engaging household. Colors is a dynamic spirit, and we’re excited to witness his playful nature blossom in the right environment. If you’re seeking a four-legged friend to join you on outdoor adventures or keep up with an active lifestyle, Colors might be the ideal addition to your family. Come meet this spirited pup, and together let’s explore the vibrant palette of his personality. Adopt Colors and be a part of his journey as he transforms from a shelter dog into a beloved member of your family, ready to share joy, love, and an abundance of energy."
Baxley,Labrador Retriever Mix,Salem,Male,1 Years,58.20,https://www.mspca.org/wp-content/uploads/2023/11/1-137.jpeg?1700199271," Meet Baxley, a charming male dog who has recently arrived from a shelter down south and is currently in the process of settling into his new surroundings. Baxley is a bit of a mystery at the moment, and we’re excited to uncover the unique qualities that make him a wonderful companion. As we spend more time getting to know him, Baxley’s true personality is sure to shine through. His journey from the southern shelter to our care is a testament to his resilience, and we’re eager to help him transition into a loving forever home. If you’re looking for a canine companion who is a bit of a blank canvas, ready to be shaped by the love and care of a dedicated family, Baxley might be the perfect addition to your home. Come meet this enigmatic pup and be a part of the story as he opens up to a world of love and companionship. Adopt Baxley and provide him with the second chance he deserves, giving him the opportunity to become a cherished member of your family."
Ginny,Labrador Retriever Mix,Nevins Farm,Female,9 Months,62.39,https://www.mspca.org/wp-content/themes/mspca-theme/images/noimg.png,
Jasper,Black and Tan Coonhound Mix,Salem,Male,8 Years,52.91,https://www.mspca.org/wp-content/uploads/2023/11/1-6.jpeg?1700199290," Introducing Jasper, a dignified older hound with a heart as big as his velvety ears. This wise canine gentleman is pretty good at walking on a leash. His measured pace and consideration make strolls with Jasper a joyous experience for both parties. True to his hound nature, Jasper’s nose leads the way, but his admirable spirit turns every walk into a delightful adventure. In the yard, Jasper initially keeps to himself, engrossed in the myriad scents that capture his attention. After a brief moment of independent exploration, he warms up to those around him, approaching with a relaxed demeanor to indulge in treats and accept gentle pets. Jasper’s affectionate side emerges gradually, showcasing his deep appreciation for companionship. If you’re seeking a seasoned companion with a gentle spirit and a love for walks, Jasper is the perfect match. Embrace the charm and wisdom that comes with age by welcoming Jasper into your home."
Bonnye,Black and Tan Coonhound Mix,Salem,Female,6 Months,34.39,https://www.mspca.org/wp-content/themes/mspca-theme/images/noimg.png," Meet our newest canine resident, an adorable puppy who has recently joined our shelter. This young pup’s story is just beginning, and we are in the process of discovering the unique qualities and characteristics that make them a one-of-a-kind companion. While we don’t know all the details of their past, one thing is certain: this puppy has an abundance of potential and love to share. As we spend more time with them, we are excited to watch their personality unfold, witness their playful antics, and see their bonds with humans and other animals grow. Although we are still getting to know this sweet puppy, one thing is for sure — they are ready to learn how to be a loving pet with love, training, and a lifetime of memories. They are a mixed breed puppy, so their full grown size is a bit of a mystery!"
